#Base,Mean,Median,Lower Quartile,Upper Quartile,10th Percentile,90th Percentile,ID
1,32.95862985227766,34.0,34.0,34.0,32.0,34.0,SRR25023039_1_val_1_fastqc_1
2,32.52521013930361,34.0,34.0,34.0,31.0,34.0,SRR25023039_1_val_1_fastqc_1
3,33.25613975085832,34.0,34.0,34.0,32.0,34.0,SRR25023039_1_val_1_fastqc_1
4,33.03678588810986,34.0,34.0,34.0,32.0,34.0,SRR25023039_1_val_1_fastqc_1
5,33.33201352257929,34.0,34.0,34.0,33.0,34.0,SRR25023039_1_val_1_fastqc_1
6,36.83953118217335,38.0,37.0,38.0,35.0,38.0,SRR25023039_1_val_1_fastqc_1
7,37.09025795503874,38.0,37.0,38.0,36.0,38.0,SRR25023039_1_val_1_fastqc_1
8,37.04152142171242,38.0,37.0,38.0,36.0,38.0,SRR25023039_1_val_1_fastqc_1
9,36.75204877599611,38.0,37.0,38.0,34.0,38.0,SRR25023039_1_val_1_fastqc_1
10-14,36.959905815498345,38.0,37.0,38.0,35.4,38.0,SRR25023039_1_val_1_fastqc_1
15-19,36.87970823851305,38.0,37.0,38.0,34.6,38.0,SRR25023039_1_val_1_fastqc_1
20-24,36.75382029496679,38.0,37.0,38.0,34.2,38.0,SRR25023039_1_val_1_fastqc_1
25-29,36.551379757395104,38.0,37.0,38.0,34.0,38.0,SRR25023039_1_val_1_fastqc_1
30-34,36.61216422035108,38.0,37.0,38.0,34.0,38.0,SRR25023039_1_val_1_fastqc_1
35-39,36.03699010422288,38.0,36.8,38.0,32.4,38.0,SRR25023039_1_val_1_fastqc_1
40-44,36.24452929085735,38.0,37.0,38.0,33.6,38.0,SRR25023039_1_val_1_fastqc_1
45-49,36.32016410883099,38.0,37.0,38.0,34.0,38.0,SRR25023039_1_val_1_fastqc_1
50-54,36.30870179872738,38.0,37.0,38.0,34.0,38.0,SRR25023039_1_val_1_fastqc_1
55-59,36.30758256689307,38.0,37.0,38.0,34.0,38.0,SRR25023039_1_val_1_fastqc_1
60-64,36.23535597614694,38.0,37.0,38.0,34.0,38.0,SRR25023039_1_val_1_fastqc_1
65-69,36.2376373203868,38.0,37.0,38.0,34.0,38.0,SRR25023039_1_val_1_fastqc_1
70-74,36.10063014981456,38.0,37.0,38.0,33.6,38.0,SRR25023039_1_val_1_fastqc_1
75-79,36.12751200007573,38.0,37.0,38.0,33.4,38.0,SRR25023039_1_val_1_fastqc_1
80-84,36.04622581199383,38.0,37.0,38.0,32.4,38.0,SRR25023039_1_val_1_fastqc_1
85-89,36.14199007092581,38.0,37.0,38.0,32.8,38.0,SRR25023039_1_val_1_fastqc_1
90-94,36.069449376444695,38.0,37.0,38.0,32.2,38.0,SRR25023039_1_val_1_fastqc_1
95-99,35.99996920108687,38.0,37.0,38.0,32.0,38.0,SRR25023039_1_val_1_fastqc_1
100-104,35.93890817892883,38.0,37.0,38.0,32.0,38.0,SRR25023039_1_val_1_fastqc_1
105-109,35.84896139477064,38.0,36.6,38.0,31.6,38.0,SRR25023039_1_val_1_fastqc_1
110-114,35.885816797734634,38.0,37.0,38.0,31.8,38.0,SRR25023039_1_val_1_fastqc_1
115-119,35.749996212537326,38.0,36.2,38.0,31.0,38.0,SRR25023039_1_val_1_fastqc_1
120-124,35.88294125065637,38.0,36.8,38.0,31.6,38.0,SRR25023039_1_val_1_fastqc_1
125-129,35.8249139081511,38.0,36.6,38.0,31.6,38.0,SRR25023039_1_val_1_fastqc_1
130-134,35.827788307346815,38.0,36.4,38.0,31.4,38.0,SRR25023039_1_val_1_fastqc_1
135-139,35.56145299449101,38.0,36.0,38.0,30.2,38.0,SRR25023039_1_val_1_fastqc_1
140-144,35.74820507078596,38.0,36.0,38.0,31.2,38.0,SRR25023039_1_val_1_fastqc_1
145-149,35.558234695043645,38.0,36.0,38.0,30.4,38.0,SRR25023039_1_val_1_fastqc_1
150-154,35.70938738885813,38.0,36.0,38.0,31.0,38.0,SRR25023039_1_val_1_fastqc_1
155-159,35.89209234625171,38.0,36.0,38.0,31.6,38.0,SRR25023039_1_val_1_fastqc_1
160-164,35.8026262057818,38.0,36.0,38.0,31.4,38.0,SRR25023039_1_val_1_fastqc_1
165-169,35.75908660131287,38.0,36.0,38.0,31.0,38.0,SRR25023039_1_val_1_fastqc_1
170-174,35.71762850909159,38.0,35.8,38.0,31.0,38.0,SRR25023039_1_val_1_fastqc_1
175-179,35.76047569220615,38.0,35.8,38.0,31.2,38.0,SRR25023039_1_val_1_fastqc_1
180-184,35.50844625222187,38.0,35.4,38.0,29.8,38.0,SRR25023039_1_val_1_fastqc_1
185-189,35.0228797129667,37.6,35.0,38.0,27.8,38.0,SRR25023039_1_val_1_fastqc_1
190-194,35.02427528123705,37.0,35.0,38.0,28.2,38.0,SRR25023039_1_val_1_fastqc_1
195-199,35.19771499964445,37.4,35.4,38.0,29.2,38.0,SRR25023039_1_val_1_fastqc_1
200-204,35.1926774096277,37.8,35.2,38.0,29.0,38.0,SRR25023039_1_val_1_fastqc_1
205-209,34.58690862979167,37.6,34.8,38.0,26.0,38.0,SRR25023039_1_val_1_fastqc_1
210-214,35.162387809963846,37.6,34.8,38.0,29.0,38.0,SRR25023039_1_val_1_fastqc_1
215-219,35.06502260056308,37.0,34.8,38.0,29.2,38.0,SRR25023039_1_val_1_fastqc_1
220-224,33.60718968722144,37.0,33.6,38.0,23.0,38.0,SRR25023039_1_val_1_fastqc_1
225-229,33.67295206786712,37.0,33.8,37.8,23.2,38.0,SRR25023039_1_val_1_fastqc_1
230-234,31.572493756409568,35.6,29.0,37.4,17.2,38.0,SRR25023039_1_val_1_fastqc_1
235-239,30.71573120375943,35.0,26.4,37.2,12.4,37.8,SRR25023039_1_val_1_fastqc_1
240-244,28.21022897122929,32.4,21.8,36.8,9.4,37.2,SRR25023039_1_val_1_fastqc_1
245-249,26.699352658457265,29.4,17.6,36.0,9.6,37.0,SRR25023039_1_val_1_fastqc_1
1,32.21568382420647,34.0,34.0,34.0,27.0,"34.0
",SRR25023039_2_val_2_fastqc_2
2,31.78072506281159,34.0,34.0,34.0,24.0,"34.0
",SRR25023039_2_val_2_fastqc_2
3,32.448448455032164,34.0,34.0,34.0,31.0,"34.0
",SRR25023039_2_val_2_fastqc_2
4,32.20359505925994,34.0,34.0,34.0,27.0,"34.0
",SRR25023039_2_val_2_fastqc_2
5,32.77929124847082,34.0,34.0,34.0,31.0,"34.0
",SRR25023039_2_val_2_fastqc_2
6,36.027768642875,38.0,37.0,38.0,34.0,"38.0
",SRR25023039_2_val_2_fastqc_2
7,35.98252456558056,38.0,37.0,38.0,32.0,"38.0
",SRR25023039_2_val_2_fastqc_2
8,34.53096512805672,38.0,35.0,38.0,26.0,"38.0
",SRR25023039_2_val_2_fastqc_2
9,34.97353362886571,38.0,35.0,38.0,27.0,"38.0
",SRR25023039_2_val_2_fastqc_2
10-14,35.42986017021612,38.0,36.0,38.0,30.2,"38.0
",SRR25023039_2_val_2_fastqc_2
15-19,35.05401270701517,38.0,35.4,38.0,27.8,"38.0
",SRR25023039_2_val_2_fastqc_2
20-24,35.50977015252762,38.0,36.0,38.0,30.2,"38.0
",SRR25023039_2_val_2_fastqc_2
25-29,35.24450556391421,38.0,35.8,38.0,28.6,"38.0
",SRR25023039_2_val_2_fastqc_2
30-34,35.13885201403228,37.8,35.8,38.0,28.6,"38.0
",SRR25023039_2_val_2_fastqc_2
35-39,35.10630847809077,38.0,35.8,38.0,27.8,"38.0
",SRR25023039_2_val_2_fastqc_2
40-44,35.23053222249079,38.0,35.8,38.0,28.6,"38.0
",SRR25023039_2_val_2_fastqc_2
45-49,34.82175184394658,37.2,35.0,38.0,26.8,"38.0
",SRR25023039_2_val_2_fastqc_2
50-54,34.7902397488669,37.0,34.6,38.0,27.0,"38.0
",SRR25023039_2_val_2_fastqc_2
55-59,34.64524586429177,37.0,34.6,38.0,26.2,"38.0
",SRR25023039_2_val_2_fastqc_2
60-64,34.79488931542092,37.0,34.8,38.0,27.0,"38.0
",SRR25023039_2_val_2_fastqc_2
